"Name","Height","Lat","Lng","Near","Far"
"富士山/Mt.Fuji","4500","35.4","138.64","100","50000"
"屋久島/Yaku","4000","30.4203","130.3693","30","100000"
"鹿屋/Kanoya","5000","31.4407","130.8108","10","50000"
"霧島/Mt.Kirishima","5000","31.9511","130.8139","100","50000"
"福岡市西部","3000","33.5738","130.3029","30","50000"
"糸島市可也山","1000","33.5838","130.1471","30","50000"
"開聞岳/池田湖","6000","31.3047","130.3931","30","50000"
"伊万里湾","3000","33.3483","129.7341","3","70000"
"関門海峡","3000","34.0104","130.9155","30","50000"
"桜島/Mt.Sakurajima","3000","31.6371","130.52","10","50000"
"長崎","3000","32.7429","129.8753","10","50000"
"阿蘇山/Mt.Aso","2000","32.8861","131.0543","5","50000"
